Tag,Train Count,Test Count,Total Count,Tag Origin,Precision,Recall,F1-Score
FS,9006,2256,11262,Both,1.0,0.9995567375886525,0.9997783196630459
PUNC,7117,1776,8893,Both,0.9955056179775281,0.9977477477477478,0.9966254218222722
AUX,1232,328,1560,Both,0.9845679012345679,0.9725609756097561,0.9785276073619632
PRP,5473,1413,6886,Both,0.9810080350620891,0.9504600141542817,0.9654924514737598
CC,2929,748,3677,Both,0.9745308310991957,0.9719251336898396,0.9732262382864793
ABB,1564,470,2034,Both,0.9705263157894737,0.9808510638297873,0.9756613756613757
DET,4674,1147,5821,Both,0.9690189328743546,0.981691368788143,0.9753139887397142
NIP,3462,884,4346,Both,0.9601328903654485,0.9807692307692307,0.970341354224958
CM,1787,443,2230,Both,0.9592760180995475,0.9571106094808126,0.9581920903954803
RP,4962,1172,6134,Both,0.9545454545454546,0.9496587030716723,0.9520958083832335
UNK,312,43,355,Both,0.9523809523809523,0.9302325581395349,0.9411764705882353
NUM,4413,1033,5446,Both,0.943342776203966,0.9670861568247822,0.9550669216061185
POST,14735,3647,18382,Both,0.942671714440238,0.9558541266794626,0.949217154526889
NNC,49337,12249,61586,Both,0.9367942019214562,0.9075026532778186,0.9219158200290276
NNP,20311,4806,25117,Both,0.9327041444398851,0.9459009571369122,0.9392561983471074
VP,13982,3435,17417,Both,0.9280989358642507,0.9394468704512373,0.9337384259259259
VFM,5235,1314,6549,Both,0.9275578790141897,0.9452054794520548,0.9362985299660761
VNF,10059,2520,12579,Both,0.9170237631476431,0.9341269841269841,0.9254963632789464
VNN,5617,1428,7045,Both,0.9085794655414908,0.9047619047619048,0.9066666666666666
RRPCV,3290,821,4111,Both,0.8932160804020101,0.8660170523751523,0.8794063079777366
JJ,14331,3652,17983,Both,0.8823698590739143,0.8400876232201533,0.8607097769673165
RB,2057,538,2595,Both,0.8438661710037175,0.8438661710037175,0.8438661710037175
NCV,3683,949,4632,Both,0.801980198019802,0.8535300316122234,0.8269525267993875
JCV,2559,630,3189,Both,0.7176128093158661,0.7825396825396825,0.7486712224753227
NNJ,5135,1300,6435,Both,0.7047113470471135,0.816923076923077,0.7566797292483078
QBE,134,49,183,Both,0.7045454545454546,0.6326530612244898,0.6666666666666666
NVB,672,155,827,Both,0.6559139784946236,0.7870967741935484,0.7155425219941349
NDT,59,15,74,Both,0.6153846153846154,0.5333333333333333,0.5714285714285714
QUE,73,17,90,Both,0.4375,0.4117647058823529,0.42424242424242425
NVF,0,1,1,Test Only,0.0,0.0,0.0
VVF,0,1,1,Test Only,0.0,0.0,0.0
ACV,2,0,2,Train Only,0.0,0.0,0.0
NN,2,0,2,Train Only,0.0,0.0,0.0
FRW,1,0,1,Train Only,0.0,0.0,0.0
FSS,1,0,1,Train Only,0.0,0.0,0.0
NNNP,1,0,1,Train Only,0.0,0.0,0.0
NNp,1,0,1,Train Only,0.0,0.0,0.0
UH,1,0,1,Train Only,0.0,0.0,0.0
UNF,1,0,1,Train Only,0.0,0.0,0.0
URL,1,0,1,Train Only,0.0,0.0,0.0
VNF[,1,0,1,Train Only,0.0,0.0,0.0
VNP,1,0,1,Train Only,0.0,0.0,0.0
